,carat,depth,table,price,cut_encoded,color_encoded,clarity_encoded
7862,1.11,62.3,58.0,4307,2,5,1
7863,1.07,61.8,60.0,4307,2,1,2
7864,1.0,62.1,61.0,4307,1,5,1
7865,1.16,60.1,60.0,4307,0,3,1
7866,1.0,62.5,59.0,4308,2,5,1
7867,0.98,61.8,58.0,4308,3,4,1
7868,1.01,58.6,58.0,4308,3,5,1
7869,0.9,63.1,56.0,4309,2,3,3
7870,0.9,63.7,60.0,4309,1,3,3
7871,0.9,63.6,59.0,4309,1,4,3
7872,0.9,63.5,59.0,4309,1,2,4
7873,0.9,62.9,58.0,4309,2,2,4
7874,0.9,62.1,59.0,4309,2,2,4
7875,0.9,63.8,55.0,4309,1,4,3
7876,0.9,62.4,58.0,4309,3,2,4
7877,0.91,59.9,61.0,4309,1,2,3
7878,0.9,61.5,60.0,4309,3,3,3
7879,0.92,62.6,57.0,4309,4,5,1
7880,0.9,63.3,54.0,4309,2,3,3
7881,0.9,65.8,61.0,4309,0,3,3
7882,0.9,62.4,54.0,4309,4,3,3
7883,1.04,63.2,57.0,4310,2,2,2
7884,1.21,62.4,60.0,4310,3,4,1
7885,0.66,60.7,59.0,4311,2,6,5
7886,1.0,61.9,59.0,4311,2,5,1
7887,1.0,60.7,59.0,4311,2,5,1
7888,1.0,64.5,54.0,4312,0,6,1
7889,1.0,62.2,59.0,4312,2,5,1
7890,1.21,62.7,57.0,4312,2,0,2
7891,1.0,60.6,61.0,4312,2,5,1
7892,1.0,63.3,55.0,4312,1,5,1
7893,1.12,60.6,60.0,4312,2,1,2
7894,1.1,57.7,60.0,4312,1,1,2
7895,1.1,60.4,61.0,4312,3,1,2
7896,1.0,65.3,58.0,4312,0,2,5
7897,1.0,65.1,57.0,4312,0,2,5
7898,1.0,61.9,61.0,4312,3,2,5
7899,1.0,64.7,60.0,4312,0,3,2
7901,1.0,64.3,62.0,4312,1,6,2
7902,1.0,61.4,56.0,4312,4,2,1
7903,0.91,61.8,60.0,4313,3,2,3
7904,1.01,63.1,57.0,4313,2,1,2
7905,1.06,62.2,56.0,4313,4,1,2
7906,1.07,59.2,57.0,4314,4,2,1
7907,0.81,62.0,57.0,4314,4,5,3
7908,0.9,60.7,57.0,4314,4,3,1
7909,1.07,60.7,61.0,4314,3,1,2
7910,1.07,60.4,63.0,4314,2,5,2
7911,1.03,63.0,57.0,4315,2,3,1
7912,0.9,62.6,58.0,4315,2,5,2
7913,0.9,62.6,61.0,4315,2,5,2
7914,0.9,63.0,56.0,4315,2,5,2
7915,1.15,60.5,56.0,4315,4,2,1
7916,0.81,59.5,60.0,4315,4,6,3
7917,1.09,60.3,57.0,4315,4,1,1
7918,0.9,64.2,59.0,4315,1,5,3
7919,1.11,59.9,60.0,4315,3,0,3
7920,0.91,59.5,58.0,4316,2,3,3
7921,1.0,61.7,55.0,4316,2,2,1
7922,1.11,62.4,57.7,4316,2,0,2
7923,1.01,62.2,56.0,4316,4,1,2
7924,1.04,63.1,58.0,4316,2,2,2
7925,1.04,62.1,56.0,4316,3,2,2
7926,1.01,59.6,59.0,4317,3,4,1
7927,0.91,61.6,55.0,4317,4,1,3
7928,0.93,61.7,55.0,4317,4,2,2
7929,1.01,65.3,59.0,4317,0,4,1
7930,0.84,60.4,62.0,4318,2,4,5
7931,1.08,60.7,60.0,4318,3,3,1
7932,0.9,62.0,57.0,4318,4,4,2
7933,1.02,61.5,61.0,4318,1,6,1
7934,1.08,59.8,57.0,4318,3,3,1
7935,1.08,63.2,57.0,4318,2,3,1
7936,1.05,62.5,60.0,4318,3,3,1
7937,1.05,61.3,58.0,4318,3,3,1
7938,1.05,63.2,54.0,4318,2,3,1
7939,1.05,61.6,60.0,4318,3,3,1
7940,1.02,60.3,59.0,4318,3,4,1
7941,0.84,59.7,59.0,4318,3,5,4
7942,1.02,63.0,58.0,4319,2,4,1
7943,1.02,62.4,57.0,4319,4,4,1
7944,1.0,61.8,58.0,4319,3,3,1
7945,1.02,60.7,57.0,4319,4,2,1
7946,1.07,58.2,58.0,4319,3,4,1
7947,1.07,61.1,57.0,4319,4,1,3
7948,1.16,62.0,59.0,4320,3,3,1
7949,0.9,62.4,59.0,4320,2,3,2
7950,0.65,61.9,56.0,4320,4,6,6
7951,1.01,62.7,59.0,4320,3,2,2
7952,1.01,60.3,64.0,4320,1,2,2
7953,1.01,60.6,61.0,4320,3,2,2
7954,1.45,64.8,67.0,4320,0,4,0
7955,1.07,62.9,59.0,4321,2,3,1
7956,0.9,60.4,59.0,4321,3,2,3
7957,1.0,59.8,58.0,4321,2,5,1
7958,1.0,59.6,59.0,4321,2,5,1
7959,1.0,63.9,57.0,4321,2,5,1
7960,1.04,62.8,55.0,4321,3,4,1
7961,1.04,64.2,56.0,4321,1,4,1
7962,1.12,62.4,58.0,4321,3,1,3
7963,1.06,63.9,60.0,4321,1,5,1
7964,1.09,59.2,63.0,4322,2,6,1
7965,1.09,62.5,59.0,4322,3,3,2
7966,1.09,61.8,59.0,4322,3,3,2
7967,1.16,63.7,56.0,4323,2,0,3
7968,0.7,61.4,57.0,4323,4,6,4
7969,0.7,61.5,57.0,4323,4,6,4
7970,1.04,60.3,57.0,4323,4,2,1
7971,0.9,62.2,57.0,4324,2,2,4
7972,0.9,63.2,59.0,4324,2,2,4
7973,0.9,62.2,59.0,4324,2,2,4
7974,1.17,59.6,60.0,4324,3,4,1
7975,1.27,59.2,64.0,4324,1,4,0
7976,0.9,60.7,57.0,4324,4,4,2
7977,0.93,60.5,57.0,4325,2,5,1
7978,0.71,61.6,54.0,4325,4,6,5
7979,0.68,61.3,57.0,4325,4,6,6
7980,0.84,61.8,56.0,4325,4,3,4
7981,1.12,62.5,57.0,4325,4,0,1
7982,1.03,61.1,57.0,4325,4,2,1
7983,0.92,60.5,57.0,4325,4,2,2
7984,1.03,63.1,56.0,4326,1,2,2
7985,1.03,58.6,61.0,4326,2,2,2
7986,1.01,63.2,55.0,4326,1,3,2
7987,0.92,64.0,56.0,4326,1,4,2
7988,1.03,62.0,58.0,4326,3,1,2
7989,1.16,62.2,58.0,4326,3,0,2
7990,1.16,62.1,58.0,4326,3,1,1
7991,1.03,60.7,63.0,4326,2,5,1
7992,1.01,62.4,59.0,4327,3,3,1
7993,1.01,63.8,56.0,4327,1,3,1
7994,0.92,61.6,58.0,4327,2,6,1
7995,0.82,62.4,54.0,4327,4,6,3
7996,1.01,62.0,58.0,4327,3,3,1
7997,1.01,62.7,58.0,4327,3,3,1
7998,1.01,60.5,58.0,4327,3,3,1
7999,1.01,61.9,59.0,4327,3,3,1
8000,1.01,59.6,57.0,4327,4,3,1
8001,1.01,60.1,59.0,4327,3,3,1
8002,1.01,60.5,58.0,4327,4,3,1
8003,1.01,60.4,59.0,4327,3,3,1
8004,1.01,62.5,60.0,4327,3,3,1
8005,1.01,61.0,58.0,4327,3,3,1
8006,1.01,60.1,61.0,4327,3,3,1
8007,0.9,62.3,59.0,4328,2,2,3
8008,0.9,62.5,58.0,4328,2,2,4
8010,1.15,62.5,58.0,4328,3,5,1
8011,1.15,61.7,60.0,4328,3,5,1
8012,1.03,57.6,58.0,4328,0,1,4
8013,1.03,61.4,58.0,4328,3,5,1
8015,0.92,60.9,57.0,4328,4,2,4
8016,1.19,63.4,56.8,4329,2,0,1
8017,1.04,58.2,59.0,4330,3,6,1
8018,1.01,61.7,56.0,4330,3,5,2
8019,1.05,61.2,57.0,4331,4,2,1
8020,1.05,61.2,57.0,4331,4,2,1
8021,1.25,62.3,59.0,4331,3,0,1
8022,1.19,61.9,58.0,4332,3,2,1
8023,0.91,62.1,58.0,4332,3,5,2
8024,1.04,60.2,60.0,4332,2,2,1
8025,1.01,62.2,58.0,4332,2,4,1
8026,1.01,62.1,58.0,4332,2,4,1
8027,1.06,62.8,56.0,4333,4,1,2
8028,1.08,62.2,57.0,4333,4,2,2
8029,0.96,61.7,56.0,4333,4,4,4
8030,1.0,62.9,56.0,4333,3,4,1
8031,1.0,59.9,61.0,4333,3,4,1
8032,1.0,61.6,62.0,4333,3,4,1
8033,0.91,62.5,58.0,4334,2,4,1
8034,0.88,62.0,59.0,4334,4,2,6
8035,0.9,62.9,58.0,4334,3,5,3
8036,0.9,62.6,65.0,4334,1,6,3
8037,0.9,63.0,59.0,4334,3,5,2
8038,0.78,62.1,55.0,4336,4,6,4
8039,1.01,62.5,57.0,4336,4,1,1
8040,0.39,63.3,56.0,581,1,0,3
8041,0.39,61.4,57.0,581,4,0,3
8042,0.39,62.7,54.0,581,2,3,1
8043,0.38,60.5,58.0,581,3,1,2
8044,0.39,61.3,60.0,581,3,0,3
8045,0.25,61.7,56.0,582,4,3,6
8046,0.25,62.6,55.0,582,4,3,6
8047,0.25,62.6,56.0,582,4,3,6
8048,0.31,62.1,56.0,582,4,5,2
8049,0.25,61.1,57.0,582,4,3,7
8050,0.25,61.2,55.0,583,2,4,5
8051,0.23,61.4,56.0,583,2,4,5
8052,0.23,61.5,56.0,583,2,4,5
8053,0.23,61.6,57.0,583,2,4,5
8054,0.23,61.8,57.0,583,2,4,6
8055,0.23,62.3,55.0,583,2,4,6
8056,0.23,62.8,54.0,583,2,4,6
8057,0.23,62.4,54.0,583,2,5,6
8058,0.23,62.2,57.0,583,2,5,6
8059,0.36,61.0,55.0,583,2,2,3
8060,0.27,60.0,62.0,583,4,4,5
8061,0.27,61.9,54.0,583,4,4,3
8062,0.27,61.8,53.0,583,4,4,3
8063,0.37,61.3,55.0,583,4,4,2
8064,0.37,61.1,60.0,583,3,0,3
8065,0.37,60.7,60.0,583,3,0,3
8066,0.31,61.9,55.0,583,4,3,4
8067,0.31,63.3,57.0,583,1,3,4
8068,0.31,63.5,55.0,583,1,4,3
8069,0.31,61.6,56.0,583,4,4,3
8070,1.01,62.4,57.0,4336,4,1,1
8071,0.74,58.4,60.0,4336,1,4,6
8072,1.01,60.6,59.0,4337,2,0,3
8073,0.91,62.0,56.0,4337,4,2,2
8074,1.21,59.9,61.0,4337,3,1,1
8075,1.01,63.1,54.0,4338,2,6,1
8076,1.01,63.6,57.0,4338,1,6,1
8077,1.01,60.8,61.0,4338,3,6,1
8078,1.01,57.6,62.0,4338,1,6,1
8079,1.01,59.2,59.0,4338,3,3,2
8080,1.23,58.0,61.0,4338,3,0,3
8081,1.01,62.6,60.0,4338,3,3,2
8082,1.01,61.8,57.0,4338,3,6,1
8083,1.01,63.0,59.0,4338,3,3,2
8084,1.01,62.6,60.0,4338,3,6,1
8085,1.01,62.8,59.0,4338,3,3,2
8086,0.72,60.8,58.0,4339,2,5,6
8087,1.01,63.4,55.0,4339,1,4,2
8088,1.01,64.2,58.0,4339,1,4,2
8089,1.07,64.6,60.0,4340,2,3,1
8090,1.0,61.5,60.0,4340,3,4,1
8091,1.25,60.1,60.0,4340,3,1,1
8092,1.25,61.1,58.0,4340,3,3,1
8093,1.02,62.6,57.0,4341,2,2,1
8094,0.7,62.4,55.0,4341,4,4,6
8095,1.02,61.3,58.0,4341,3,3,2
8096,0.95,60.1,61.0,4341,3,6,1
8097,1.08,62.1,56.0,4344,4,2,1
8098,1.04,61.7,57.0,4344,4,1,2
8099,0.91,63.1,58.0,4345,1,5,3
8100,1.52,62.3,60.0,4345,3,3,0
8101,1.01,61.9,58.0,4346,2,0,2
8102,1.2,63.6,60.0,4346,1,6,0
8103,1.03,60.6,56.0,4347,4,0,1
8104,1.15,62.3,55.0,4347,3,0,2
8105,1.15,62.6,57.0,4347,3,1,1
8106,1.15,61.8,57.0,4347,4,0,2
8107,1.02,62.8,59.0,4348,2,2,2
8108,1.0,62.3,56.0,4348,2,6,1
8109,1.13,61.6,57.0,4348,2,1,3
8110,1.01,58.1,60.0,4348,3,2,3
8111,1.09,60.9,57.0,4349,2,2,1
8112,1.13,59.4,58.0,4350,3,2,1
8113,0.92,62.3,58.0,4350,3,6,2
8114,0.78,62.2,57.0,4350,4,6,4
8115,1.01,62.1,57.0,4350,4,3,1
8116,0.93,62.8,59.0,4351,2,2,3
8117,0.9,61.6,56.0,4351,4,6,2
8118,1.01,60.4,60.0,4352,2,5,1
8119,0.91,63.0,59.0,4352,3,6,2
8120,1.34,61.1,63.0,4352,2,2,1
8121,1.18,62.2,58.0,4353,2,0,1
8122,1.27,62.4,56.0,4353,3,3,1
8123,1.02,61.9,56.0,4353,4,2,1
8124,0.9,64.8,54.0,4353,1,5,4
8125,1.02,63.9,57.9,4354,2,0,3
8126,1.1,62.1,58.0,4354,3,2,2
8127,1.05,60.4,57.0,4354,3,4,1
8128,1.08,61.4,57.0,4355,4,1,2
8129,0.9,61.2,61.0,4355,3,2,3
8130,1.01,62.1,56.0,4355,4,5,1
8131,1.01,62.5,60.0,4355,3,5,1
8132,1.01,61.8,56.0,4355,2,5,1
8133,1.01,62.4,58.0,4355,2,5,1
8134,1.01,59.6,61.0,4355,2,5,1
8135,1.01,62.8,57.0,4355,2,5,1
8136,1.01,63.3,58.0,4355,1,5,1
8137,1.01,63.4,56.0,4355,2,4,1
8138,1.01,62.3,58.0,4355,3,1,2
8139,0.97,64.5,61.0,4355,1,1,3
8140,0.9,60.3,61.0,4355,3,2,5
8141,0.9,62.0,58.0,4355,3,2,5
8142,1.08,60.5,60.0,4355,3,1,2
8143,1.01,65.0,55.0,4355,0,2,5
8144,1.01,61.3,59.0,4355,3,2,1
8145,0.96,62.6,57.0,4355,4,3,2
8146,0.96,63.0,54.0,4355,4,3,2
8147,1.01,63.6,58.0,4355,1,4,2
8148,1.01,61.9,58.0,4355,3,1,2
8149,1.01,59.5,55.0,4355,3,3,1
8150,1.1,62.7,58.0,4356,2,1,2
8151,1.02,59.2,58.0,4356,1,4,1
8152,1.01,61.7,56.0,4357,4,2,1
8153,1.06,62.2,61.0,4357,1,4,1
8154,0.91,60.8,56.0,4357,3,3,3
8155,0.9,62.4,55.0,4358,2,3,4
8156,1.02,61.0,58.0,4360,4,2,1
8157,0.91,61.0,57.0,4360,4,3,1
8158,1.13,62.3,59.0,4360,3,4,1
8159,1.1,57.0,62.0,4361,1,6,1
8160,1.1,58.6,63.0,4361,2,6,1
8161,1.09,62.0,54.0,4361,4,0,3
8162,0.7,63.4,59.0,4362,2,6,6
8163,1.03,61.6,59.0,4362,3,1,2
8164,1.08,60.3,58.0,4362,2,3,1
8165,1.01,62.4,58.0,4362,3,3,1
8166,0.72,61.0,56.0,4362,4,4,6
8167,0.8,62.2,56.0,4362,4,4,4
8168,0.9,61.1,62.0,4362,1,6,2
8169,1.07,60.5,59.0,4362,3,5,1
8170,0.71,61.0,56.0,4363,2,6,5
8171,1.01,63.5,55.0,4363,2,5,1
8172,1.05,61.7,60.0,4363,3,4,1
8173,1.02,62.6,58.0,4363,4,3,1
8174,0.85,61.6,57.0,4363,4,5,2
8175,1.05,62.8,55.0,4363,3,4,1
8176,1.05,62.3,56.0,4363,3,4,1
8177,1.04,62.4,54.0,4364,2,4,1
8178,1.05,61.3,56.0,4364,4,0,1
8179,0.96,58.7,62.0,4365,3,5,2
8180,0.84,60.6,57.0,4365,3,6,4
8181,1.07,61.7,58.0,4366,3,4,1
8182,1.07,61.8,58.0,4366,3,4,1
8183,1.02,62.0,55.0,4366,4,3,1
8184,0.94,60.9,57.0,4366,4,5,1
8185,1.2,62.2,57.0,4368,4,1,2
8187,1.2,66.2,59.0,4368,0,1,2
8188,1.04,61.8,55.0,4368,4,2,1
8189,1.04,60.4,59.0,4368,3,2,2
8190,1.2,61.1,57.0,4368,4,2,1
8191,1.02,61.4,61.0,4368,1,4,1
8192,1.04,62.0,57.0,4368,3,1,2
8193,1.04,61.8,60.0,4368,3,1,2
8194,1.04,61.5,59.0,4368,3,2,1
8195,1.2,62.5,58.0,4368,3,2,1
8196,1.3,60.7,59.0,4368,3,2,1
8197,1.2,64.8,58.0,4368,0,2,1
8198,1.0,61.8,59.0,4368,3,3,1
8199,1.04,58.6,60.0,4368,3,2,1
8200,1.0,65.4,61.0,4368,0,2,4
8201,1.04,61.1,56.0,4368,4,2,1
8202,1.0,57.4,68.0,4368,0,2,4
8203,0.51,60.7,66.0,4368,0,4,5
8204,0.9,62.5,58.0,4369,2,3,3
8205,1.01,62.6,58.0,4369,2,2,2
8206,0.7,62.0,53.4,4369,4,6,5
8207,0.9,62.5,53.0,4369,4,2,3
8208,1.01,65.5,58.0,4369,1,4,2
8209,0.91,62.1,59.0,4370,2,2,4
8210,0.9,62.4,58.0,4370,1,4,3
8211,0.9,63.1,57.0,4370,1,4,3
8212,1.02,62.9,59.0,4370,3,3,1
8213,1.02,63.1,60.0,4370,2,3,1
8214,1.04,62.8,59.0,4370,3,5,1
8215,1.02,62.7,57.0,4370,4,3,1
8216,1.02,62.5,59.0,4370,3,3,1
8217,1.13,61.9,56.0,4371,4,0,1
8218,1.01,61.0,56.0,4371,3,5,1
8219,1.09,62.3,59.0,4372,2,0,3
8220,1.06,62.8,57.0,4372,2,2,1
8221,1.06,61.9,59.0,4372,3,1,2
8222,1.0,61.3,61.0,4372,2,4,1
8223,1.0,61.6,61.0,4372,2,4,1
8224,1.06,62.4,58.0,4372,3,4,1
8225,1.0,61.2,57.0,4372,4,4,1
8226,1.0,61.3,56.0,4372,4,4,1
8227,1.0,61.6,59.0,4372,3,1,3
8228,1.0,64.0,57.0,4372,1,4,2
8229,1.0,61.1,61.0,4372,2,4,1
8230,0.73,61.3,56.0,4372,4,6,5
8231,0.84,61.4,56.0,4372,4,3,4
8232,0.93,62.3,58.0,4373,3,4,2
8233,1.12,61.1,59.0,4373,3,1,2
8234,1.12,62.5,58.0,4373,2,2,1
8235,1.02,60.0,57.0,4373,2,4,1
8236,0.85,61.8,55.0,4373,4,3,4
8237,0.85,61.9,56.0,4373,4,6,2
8238,1.32,59.2,61.0,4373,3,3,1
8239,1.03,62.2,56.0,4374,2,3,1
8240,1.07,61.9,55.0,4374,4,4,1
8241,0.93,62.2,55.0,4374,4,5,2
8242,1.05,60.2,61.0,4374,3,1,1
8243,1.07,61.7,57.0,4374,4,5,1
8244,1.07,60.6,60.0,4374,3,2,3
8245,1.04,60.7,57.0,4375,4,3,1
8246,1.04,61.4,57.0,4375,4,3,1
8247,1.04,62.6,58.0,4375,2,3,1
8248,1.01,60.0,62.0,4375,2,1,2
8249,1.24,62.8,58.0,4375,3,1,1
8250,1.24,64.9,60.0,4375,0,4,1
8251,1.02,60.5,57.0,4375,4,2,1
8252,0.93,63.8,58.0,4375,1,3,2
8253,1.11,61.9,57.0,4377,4,1,1
8254,0.76,61.7,56.0,4377,4,6,4
8256,0.83,62.0,54.9,4378,4,6,3
8257,1.01,64.1,58.0,4378,4,1,3
8258,0.92,61.3,58.0,4379,3,5,2
8259,1.0,62.0,57.0,4379,2,2,1
8260,0.9,61.4,58.0,4379,2,4,2
8261,0.71,61.7,56.0,4380,4,6,4
8262,1.02,61.9,58.0,4381,3,3,2
8263,0.9,63.0,57.0,4381,2,2,3
8264,0.9,63.5,57.0,4381,1,6,2
8265,0.9,61.0,63.0,4381,2,6,2
8266,0.9,63.3,57.0,4381,1,6,2
8267,0.9,62.7,58.0,4381,3,6,2
8268,0.9,59.4,62.0,4381,2,6,2
8269,0.9,61.5,58.0,4381,2,6,2
8270,0.9,62.6,58.0,4381,2,6,2
8271,0.9,63.2,55.0,4381,1,6,2
8272,0.9,62.7,56.0,4381,2,6,2
8273,0.9,61.2,60.0,4381,2,6,2
8274,0.9,64.3,59.0,4381,1,2,6
8275,1.02,60.0,62.0,4381,3,6,1
8276,1.02,65.5,60.0,4381,0,6,1
8277,1.02,60.9,61.0,4381,3,6,1
8278,1.02,61.5,58.0,4381,3,6,1
8279,1.02,62.1,57.0,4381,3,6,1
8280,0.9,63.2,54.0,4382,2,5,2
8281,0.9,64.0,55.0,4382,1,3,6
8282,1.03,62.5,54.0,4382,4,2,1
8283,0.9,62.2,63.0,4382,1,6,1
8284,0.76,61.8,54.0,4382,4,5,6
8285,1.0,62.2,55.0,4383,2,4,1
8286,1.09,60.0,59.0,4383,4,2,1
8287,1.01,61.0,56.0,4383,4,3,1
8288,0.74,61.9,55.0,4383,4,4,7
8289,1.01,62.3,59.0,4384,2,4,1
8290,1.03,60.7,60.0,4384,3,2,2
8291,1.03,61.1,57.0,4384,4,2,1
8292,0.9,60.8,59.0,4385,3,5,2
8293,1.13,63.5,59.0,4385,2,0,2
8294,0.9,59.1,62.0,4385,3,5,2
8295,0.9,58.0,61.0,4385,3,5,3
8296,1.13,61.7,57.0,4385,4,1,1
8297,0.9,61.6,57.0,4385,3,5,2
8298,0.9,59.8,55.0,4385,3,5,2
8299,0.9,61.8,60.0,4386,3,3,3
8300,0.9,61.5,60.0,4386,2,3,3
8301,0.91,61.9,56.0,4386,4,2,2
8302,1.0,60.2,65.0,4386,1,4,1
8303,1.2,62.8,62.0,4387,3,3,1
8304,1.44,62.7,55.0,4387,3,1,0
8305,0.93,58.3,60.0,4387,3,2,3
8306,0.8,61.1,57.0,4388,4,3,4
8307,0.96,59.1,58.0,4388,3,6,1
8308,1.0,62.7,60.0,4389,1,2,2
8309,1.0,62.2,60.0,4389,2,2,2
8310,1.0,63.4,56.0,4389,1,2,2
8311,1.0,59.0,60.0,4389,3,2,2
8312,1.0,63.9,56.0,4389,1,2,2
8313,1.0,61.2,62.0,4389,1,2,2
8314,0.91,63.5,56.0,4389,2,6,2
8315,1.0,58.3,61.0,4390,4,2,1
8316,1.1,61.5,55.0,4390,4,0,2
8317,0.9,62.2,55.0,4390,4,4,2
8318,1.0,63.3,55.0,4390,2,5,1
8319,1.12,60.6,60.0,4390,3,1,2
8320,1.0,62.2,59.0,4390,3,5,1
8321,1.0,60.6,61.0,4390,3,5,1
8322,1.13,62.9,57.7,4391,2,0,2
8323,1.03,61.7,55.0,4391,4,3,1
8324,1.08,58.0,61.0,4391,1,4,1
8325,1.21,62.7,57.0,4391,3,0,2
8326,1.21,61.8,60.0,4391,3,1,1
8327,0.91,61.0,57.0,4392,4,5,2
8328,1.0,62.5,55.0,4392,2,5,1
8329,1.0,61.0,61.0,4394,1,5,1
8330,1.09,61.2,62.0,4395,3,2,1
8331,1.09,61.2,62.0,4395,3,2,1
8332,1.16,63.7,63.0,4395,1,4,1
8333,1.0,63.7,58.0,4395,2,2,1
8334,1.03,61.7,56.0,4395,4,0,2
8335,0.9,61.0,62.0,4395,1,3,4
8336,1.01,58.8,58.0,4395,3,3,2
8337,1.01,62.3,60.0,4395,3,3,2
8338,0.9,59.6,59.0,4397,2,4,3
8339,1.02,61.1,58.0,4397,4,0,3
8340,1.02,60.7,57.0,4397,4,0,3
8341,1.01,59.3,62.0,4397,1,3,1
8342,1.02,59.6,57.0,4398,0,2,1
8343,1.02,60.5,58.0,4398,2,5,1
8344,1.02,63.3,59.0,4398,1,5,1
8345,1.02,62.8,55.0,4398,2,5,1
8346,1.02,62.9,56.0,4398,2,5,1
8347,1.02,63.0,57.0,4398,2,5,1
8348,1.02,62.4,55.0,4398,4,5,1
8349,1.02,59.6,59.0,4398,2,5,1
8350,1.05,62.9,57.0,4398,2,5,1
8351,1.04,64.9,56.0,4398,0,6,1
8352,1.02,61.4,54.0,4398,4,3,1
8353,1.0,61.8,58.0,4398,3,3,1
8354,1.02,63.0,58.0,4398,3,4,1
8355,1.02,62.4,57.0,4398,4,4,1
8357,1.02,60.7,57.0,4398,4,2,1
8358,0.77,60.2,58.0,4399,2,4,6
8359,1.01,62.4,58.0,4399,3,5,2
8360,1.01,64.1,59.0,4399,1,5,2
8361,1.01,64.1,62.0,4399,1,5,2
8362,1.01,61.0,56.0,4399,2,5,2
8363,1.01,59.3,64.0,4399,1,5,2
8364,1.14,62.8,58.0,4399,3,4,1
8365,0.9,63.8,58.0,4400,2,3,3
8366,0.9,58.8,61.0,4400,2,3,3
8367,0.9,63.4,58.0,4400,2,4,3
8368,1.0,63.5,54.0,4400,1,5,1
8369,0.97,62.6,58.0,4400,3,3,2
8370,0.31,60.7,61.0,583,2,4,3
8371,0.31,63.7,59.0,583,1,4,3
8372,0.31,60.8,57.0,583,4,4,3
8373,0.31,61.6,56.0,583,4,4,3
8374,0.31,59.4,58.0,583,3,4,3
8375,0.31,63.0,57.0,583,2,4,3
8376,0.31,63.6,54.0,583,1,4,3
8377,0.31,58.2,61.0,583,2,3,4
8378,0.31,61.9,57.0,583,4,4,3
8379,0.31,58.3,61.0,583,2,4,3
8380,0.31,62.2,56.0,583,4,4,3
8381,0.35,62.5,54.0,583,4,4,2
8382,0.35,60.2,58.0,583,3,4,2
8383,0.35,62.4,55.0,583,4,4,2
8384,0.35,62.2,56.0,583,4,4,2
8385,0.35,63.6,54.0,583,1,4,2
8386,0.35,63.1,56.0,583,1,4,2
8387,0.35,62.3,58.0,583,3,4,2
8388,0.35,61.7,58.0,583,2,4,2
8389,0.26,60.9,58.0,584,2,5,5
8390,0.32,59.9,57.0,584,2,5,2
8391,0.32,62.3,55.0,584,2,5,2
8393,0.34,62.0,55.0,584,4,6,2
8394,0.37,63.1,55.0,584,1,2,3
8395,0.37,59.5,61.0,584,2,2,3
8396,0.37,63.7,55.0,584,1,2,3
8397,0.37,61.4,59.0,584,3,1,4
8398,0.34,62.0,58.0,584,3,6,2
8399,0.3,61.6,61.0,585,2,5,3
8400,1.07,62.0,59.0,4401,3,3,1
8401,0.9,60.7,57.0,4401,4,4,2
8402,0.9,62.9,54.0,4401,2,3,2
8403,1.06,60.1,59.0,4401,4,2,1
8404,1.03,63.3,57.0,4401,4,1,2
8405,1.07,62.9,59.0,4401,3,3,1
8406,0.9,63.9,60.0,4401,1,3,4
8407,1.07,62.0,57.0,4401,4,3,1
8408,1.06,62.8,57.0,4402,4,2,1
8409,1.04,59.9,56.0,4403,4,4,2
8410,0.9,61.9,58.0,4403,4,2,3
8411,1.04,66.9,62.0,4403,0,4,2
8412,1.04,62.1,56.0,4404,4,2,1
8413,0.92,63.1,57.0,4404,1,4,3
8414,1.02,63.1,59.0,4404,2,5,1
8415,1.02,60.7,62.0,4404,2,5,1
8416,0.97,62.8,55.0,4404,2,2,2
8417,1.51,60.9,56.0,4404,3,2,0
8418,1.21,63.3,60.0,4404,2,1,2
8419,1.21,61.0,56.0,4404,3,1,2
8420,1.15,62.0,58.0,4405,2,1,1
8421,1.05,61.7,55.0,4405,4,0,2
8422,1.05,61.5,55.0,4405,4,0,2
8423,1.0,61.6,61.0,4405,1,2,2
8424,0.93,58.8,61.0,4405,1,3,2
8425,0.92,62.6,56.0,4405,4,3,3
8426,1.06,61.4,57.0,4405,4,1,3
8427,0.92,61.9,57.0,4406,4,3,1
8428,0.92,58.9,57.0,4406,1,5,3
8429,1.03,58.6,61.0,4406,3,2,2
8430,1.03,63.4,62.0,4406,2,2,2
8431,1.13,60.7,64.0,4406,1,6,1
8432,0.9,61.4,62.0,4407,3,6,2
8433,1.08,62.6,56.0,4407,2,4,1
8434,1.08,60.2,59.0,4407,3,4,1
8435,0.77,62.3,56.0,4407,4,6,4
8436,1.03,62.1,56.0,4407,4,3,1
8437,0.7,61.0,61.0,4407,1,6,6
8438,1.23,58.9,62.0,4408,3,3,1
8439,0.9,62.4,55.0,4409,1,2,4
8440,1.25,62.3,59.0,4410,3,0,1
8441,1.05,61.2,57.0,4410,4,2,1
8442,1.05,61.2,57.0,4410,4,2,1
8443,1.01,61.9,58.0,4412,3,4,2
8444,1.01,63.5,59.0,4412,2,1,2
8445,1.01,62.3,58.0,4412,3,2,3
8446,0.81,62.3,55.0,4412,4,4,4
8447,1.01,63.5,56.0,4412,2,2,4
8448,1.01,59.1,60.0,4412,3,5,1
8449,1.01,60.3,60.0,4412,3,2,1
8450,1.06,62.6,59.0,4413,2,0,3
8451,1.07,61.2,60.0,4413,3,2,1
8452,1.07,62.8,57.0,4413,2,2,1
